ppm_code,ppm_desc,ppo_object,ppo_meter,ppo_meterdue
MINOR-D:SR1178,MINOR INSPECTION,8114,8000,864666
MINOR-D:L455,MINOR INSPECTION,9475,8000,835336
MINOR-D:L381,MINOR INSPECTION,9749,8000,987357
MINOR-D:L302,MINOR INSPECTION,9666,8000,895137
MINOR-D:SR1123,MINOR INSPECTION,7462,8000,1377179
MINOR-D:SR1178,MINOR INSPECTION,8109,8000,1003885
MINOR-D:L380,MINOR INSPECTION,9726,8000,950856
MINOR-D:L341,MINOR INSPECTION,9724,8000,974367
MINOR-D:L482,MINOR INSPECTION,9499,8000,747056
MINOR-D:L301,MINOR INSPECTION,9648,8000,999720
MINOR-D:SR2743,MINOR INSPECTION,22004,8000,15679
MINOR-D:L301,MINOR INSPECTION,9625,8000,990458
MINOR-D:L302,MINOR INSPECTION,9669,8000,952286
MINOR-D:SR1123,MINOR INSPECTION,7490,8000,1348948
MINOR-T:SR1027,MINOR INSPECTION,2220,8000,810087
MINOR-D:L381,MINOR INSPECTION,9750,8000,995794
MINOR-D:L482,MINOR INSPECTION,9496,8000,855185
MINOR-T:SR1027,MINOR INSPECTION,2237,8000,739952
MINOR-T:SR1027,MINOR INSPECTION,2236,8000,807981
MINOR-D:L381,MINOR INSPECTION,9778,8000,954658
MINOR-T:SR985,MINOR INSPECTION,2501,8000,700851
MINOR-D:L302,MINOR INSPECTION,9690,8000,947799
MINOR-D:SR648,MINOR INSPECTION,7419,8000,1224513
MINOR-T:SR1030,MINOR INSPECTION,2525,8000,772762
MINOR-D:SR1123,MINOR INSPECTION,7479,8000,1387938
MINOR-D:L381,MINOR INSPECTION,9780,8000,981151
MINOR-T:SR1027,MINOR INSPECTION,2253,8000,761655
MINOR-D:SR1095,MINOR INSPECTION,3335,8000,1254390
MINOR-T:SR1027,MINOR INSPECTION,2238,8000,784124
MINOR-D:L341,MINOR INSPECTION,9723,8000,998978
MINOR-T:SR1027,MINOR INSPECTION,2190,8000,768912
MINOR-D:SR1095,MINOR INSPECTION,3339,8000,1246360
MINOR-D:L482,MINOR INSPECTION,9492,8000,832969
MINOR-T:SR1027,MINOR INSPECTION,2248,8000,804977
MINOR-D:L454,MINOR INSPECTION,9404,8000,819879
MINOR-D:L454,MINOR INSPECTION,9447,8000,879662
MINOR-D:SR1123,MINOR INSPECTION,7501,8000,1381687
MINOR-T:SR1293,MINOR INSPECTION,2568,8000,644820
MINOR-D:L454,MINOR INSPECTION,9410,8000,870567
MINOR-D:SR1123,MINOR INSPECTION,7466,8000,1381335
MINOR-D:SR1095,MINOR INSPECTION,3315,8000,1260650
MINOR-D:L454,MINOR INSPECTION,9419,8000,870713
MINOR-T:SR1027,MINOR INSPECTION,2180,8000,793072
MINOR-T:SR1027,MINOR INSPECTION,2245,8000,822366
MINOR-T:SR1027,MINOR INSPECTION,2195,8000,758564
MINOR-T:SR1027,MINOR INSPECTION,2124,8000,798326
MINOR-T:SR1293,MINOR INSPECTION,2556,8000,707542
MINOR-D:SR729,MINOR INSPECTION,7432,8000,1314284
MINOR-T:SR1027,MINOR INSPECTION,2179,8000,724590
MINOR-T:SR1027,MINOR INSPECTION,2178,8000,733238
MINOR-T:SR1027,MINOR INSPECTION,2121,8000,789546
MINOR-T:SR1030,MINOR INSPECTION,2510,8000,768101
MINOR-T:SR1293,MINOR INSPECTION,2542,8000,659515
MINOR-D:L454,MINOR INSPECTION,9439,8000,891522
MINOR-D:L533,MINOR INSPECTION,9564,8000,902996
MINOR-T:SR1293,MINOR INSPECTION,2558,8000,693115
MINOR-D:L454,MINOR INSPECTION,9435,8000,888110
MINOR-D:SR1280,MINOR INSPECTION,8132,8000,868701
MINOR-D:SR1993,MINOR INSPECTION,16042,8000,514694
MINOR-D:SR1867,MINOR INSPECTION,14025,8000,763300
MINOR-D:SR2065,MINOR INSPECTION,16211,8000,439815
MINOR-D:SR1993,MINOR INSPECTION,16050,8000,531868
MINOR-D:SR2065,MINOR INSPECTION,16210,8000,442265
MINOR-D:SR2065,MINOR INSPECTION,16223,8000,426410
MINOR-D:SR1993,MINOR INSPECTION,16043,8000,495379
MINOR-D:SR1867,MINOR INSPECTION,14041,8000,707946
MINOR-D:SR2021,MINOR INSPECTION,16117,8000,563220
MINOR-D:SR1867,MINOR INSPECTION,14029,8000,780539
MINOR-D:SR1993,MINOR INSPECTION,16041,8000,551140
MINOR-D:SR1993,MINOR INSPECTION,16020,8000,526611
MINOR-D:SR1867,MINOR INSPECTION,14032,8000,696366
MINOR-D:SR1867,MINOR INSPECTION,14003,8000,783914
MINOR-D:SR1867,MINOR INSPECTION,14023,8000,766903
MINOR-D:SR1993,MINOR INSPECTION,16023,8000,558713
MINOR-D:SR1993,MINOR INSPECTION,16015,8000,576620
MINOR-D:SR1867,MINOR INSPECTION,14045,8000,737284
MINOR-D:SR2065,MINOR INSPECTION,16205,8000,458534
MINOR-D:SR1993,MINOR INSPECTION,16013,8000,539535
MINOR-D:SR1993,MINOR INSPECTION,16033,8000,535256
MINOR-D:SR1993,MINOR INSPECTION,16024,8000,557394
MINOR-D:SR1993,MINOR INSPECTION,16022,8000,538537
MINOR-D:SR1993,MINOR INSPECTION,16045,8000,525098
MINOR-D:SR1867,MINOR INSPECTION,14009,8000,771449
MINOR-D:SR1993,MINOR INSPECTION,16034,8000,536467
MINOR-D:SR2299,MINOR INSPECTION,19042,8000,292282
MINOR-D:LB31,MINOR INSPECTION,18400,8000,294972
MINOR-D:SR2299,MINOR INSPECTION,19027,8000,280633
MINOR-D:L501,MINOR INSPECTION,21423,8000,137331
MINOR-D:SR2795,MINOR INSPECTION,24002,8000,8000
MINOR-D:SR2338,MINOR INSPECTION,19115,8000,395324
MINOR-D:SR2338,MINOR INSPECTION,19102,8000,413737
MINOR-D:SR2299,MINOR INSPECTION,19034,8000,295568
MINOR-D:SR2338,MINOR INSPECTION,19129,8000,360344
MINOR-D:SR2299,MINOR INSPECTION,19019,8000,312650
MINOR-D:SR2795,MINOR INSPECTION,24006,8000,8000
MINOR-D:SR2255,MINOR INSPECTION,18061,8000,257670
MINOR-D:SR2299,MINOR INSPECTION,19022,8000,256155
MINOR-D:LB32,MINOR INSPECTION,18452,8000,475805
MINOR-D:L501,MINOR INSPECTION,21416,8000,143685
MINOR-D:SR2299,MINOR INSPECTION,19030,8000,295878
MINOR-D:SR2743,MINOR INSPECTION,22006,8000,38684
MINOR-D:LB31,MINOR INSPECTION,18381,8000,311149
MINOR-D:SR2338,MINOR INSPECTION,19118,8000,394385
MINOR-D:SR2338,MINOR INSPECTION,19105,8000,400401
MINOR-D:LB31,MINOR INSPECTION,18335,8000,298490
MINOR-D:SR2299,MINOR INSPECTION,19003,8000,365894
MINOR-D:SR2743,MINOR INSPECTION,22014,8000,30839
MINOR-D:SR2299,MINOR INSPECTION,19006,8000,332272
MINOR-D:LB31,MINOR INSPECTION,18377,8000,291674
MINOR-D:L501,MINOR INSPECTION,21407,8000,208601
MINOR-D:SR2299,MINOR INSPECTION,19044,8000,294699
MINOR-D:SR2299,MINOR INSPECTION,19002,8000,360567
MINOR-D:SR2299,MINOR INSPECTION,19046,8000,265245
MINOR-D:SR2604,MINOR INSPECTION,21023,8000,125089
MINOR-D:SR2299,MINOR INSPECTION,19045,8000,287598
MINOR-D:LB31,MINOR INSPECTION,18328,8000,311960
MINOR-D:L501,MINOR INSPECTION,21424,8000,134287
MINOR-D:LB31,MINOR INSPECTION,18390,8000,296639
MINOR-D:J520,MINOR INSPECTION,19426,8000,529648
MINOR-D:SR2299,MINOR INSPECTION,19039,8000,265307
MINOR-D:L501,MINOR INSPECTION,21403,8000,163705
MINOR-D:SR2757,MINOR INSPECTION,23011,8000,8001
MINOR-D:SR2338,MINOR INSPECTION,19143,8000,325701
MINOR-D:SR2299,MINOR INSPECTION,19013,8000,314458
MINOR-D:LB31,MINOR INSPECTION,18398,8000,303034
MINOR-D:SR2338,MINOR INSPECTION,19131,8000,403406
MINOR-D:SR2338,MINOR INSPECTION,19122,8000,382745
MINOR-D:L501,MINOR INSPECTION,21415,8000,151455
MINOR-D:SR2255,MINOR INSPECTION,18032,8000,343584
MINOR-D:SR2338,MINOR INSPECTION,19136,8000,377416
MINOR-D:LB31,MINOR INSPECTION,18305,8000,283161
MINOR-D:SR2338,MINOR INSPECTION,19127,8000,387502
MINOR-D:SR2795,MINOR INSPECTION,24009,8000,8000
MINOR-D:SR2757,MINOR INSPECTION,23009,8000,15698
MINOR-T:SR1030,MINOR INSPECTION,2502,8000,700977
MINOR-D:SR2757,MINOR INSPECTION,23001,8000,23117
MINOR-D:LB31,MINOR INSPECTION,18308,8000,278089
MINOR-D:L341,MINOR INSPECTION,9718,8000,976301
MINOR-T:SR1027,MINOR INSPECTION,2126,8000,716922
MINOR-D:SR2757,MINOR INSPECTION,23014,8000,30760
MINOR-D:SR2021,MINOR INSPECTION,16139,8000,162679
MINOR-D:SR1659,MINOR INSPECTION,12010,8000,684531
MINOR-D:L533C,MINOR INSPECTION,9555,8000,918029
MINOR-D:SR1280,MINOR INSPECTION,8153,8000,885647
MINOR-T:SR1027,MINOR INSPECTION,2272,8000,767799
MINOR-D:L534,MINOR INSPECTION,9579,8000,844612
MINOR-D:1314A,MINOR INSPECTION,9279,8000,1531131
MINOR-D:L533C,MINOR INSPECTION,9553,8000,885397
MINOR-D:J520,MINOR INSPECTION,19405,8000,548813
MINOR-D:SR1659,MINOR INSPECTION,12001,8000,639754
MINOR-T:SR1027,MINOR INSPECTION,2171,8000,839371
MINOR-D:L455,MINOR INSPECTION,9480,8000,869117
MINOR-D:L302,MINOR INSPECTION,9677,8000,974743
MINOR-D:L380,MINOR INSPECTION,9741,8000,1011760
MINOR-D:L483,MINOR INSPECTION,9520,8000,850606
MINOR-D:SR1123,MINOR INSPECTION,7470,8000,1375583
MINOR-D:L483,MINOR INSPECTION,9535,8000,835775
MINOR-D:SR1123,MINOR INSPECTION,7465,8000,1374090
MINOR-D:SR648A,MINOR INSPECTION,7423,8000,1314354
MINOR-T:SR1293,MINOR INSPECTION,2572,8000,709689
MINOR-D:SR1095,MINOR INSPECTION,3337,8000,1257570
MINOR-D:L454,MINOR INSPECTION,9440,8000,898737
MINOR-T:SR1027,MINOR INSPECTION,2261,8000,791688
MINOR-D:SR1123,MINOR INSPECTION,7469,8000,1477543
MINOR-T:SR1027,MINOR INSPECTION,2276,8000,634313
MINOR-T:SR1027,MINOR INSPECTION,2206,8000,846761
MINOR-D:SR1095,MINOR INSPECTION,3320,8000,1263907
MINOR-T:SR1030,MINOR INSPECTION,2517,8000,763241
MINOR-D:L412,MINOR INSPECTION,9401,8000,840511
MINOR-D:SR648,MINOR INSPECTION,7390,8000,1259863
MINOR-T:SR1293,MINOR INSPECTION,2552,8000,690043
MINOR-D:L483,MINOR INSPECTION,9528,8000,830492
MINOR-T:SR1293,MINOR INSPECTION,2550,8000,671632
MINOR-T:SR1027,MINOR INSPECTION,2217,8000,797918
MINOR-D:SR648,MINOR INSPECTION,7408,8000,1302986
MINOR-D:SR1280,MINOR INSPECTION,8129,8000,869063
MINOR-D:L381,MINOR INSPECTION,9761,8000,978744
MINOR-T:SR983,MINOR INSPECTION,2101,8000,642854
MINOR-D:L533B,MINOR INSPECTION,9569,8000,845988
MINOR-D:L454,MINOR INSPECTION,9429,8000,859568
MINOR-T:SR1027,MINOR INSPECTION,2164,8000,786852
MINOR-D:SR1280,MINOR INSPECTION,8140,8000,875760
MINOR-D:L533B,MINOR INSPECTION,9570,8000,844811
MINOR-D:L483,MINOR INSPECTION,9526,8000,835098
MINOR-D:SR1659,MINOR INSPECTION,12003,8000,662987
MINOR-D:J520,MINOR INSPECTION,19423,8000,526523
MINOR-D:SR1659,MINOR INSPECTION,12015,8000,675722
MINOR-D:L380,MINOR INSPECTION,9743,8000,992650
MINOR-D:L302,MINOR INSPECTION,9655,8000,984977
MINOR-D:SR1659,MINOR INSPECTION,12005,8000,663518
MINOR-D:L301,MINOR INSPECTION,9612,8000,997138
MINOR-D:L301,MINOR INSPECTION,9637,8000,991095
MINOR-D:L380,MINOR INSPECTION,9731,8000,1008084
MINOR-T:SR1027,MINOR INSPECTION,2135,8000,795608
MINOR-D:L380,MINOR INSPECTION,9746,8000,1021459
MINOR-T:SR1027,MINOR INSPECTION,2209,8000,811217
MINOR-T:SR1027,MINOR INSPECTION,2267,8000,770744
MINOR-D:L302,MINOR INSPECTION,9693,8000,975277
MINOR-D:L482,MINOR INSPECTION,9507,8000,858809
MINOR-D:L454,MINOR INSPECTION,9407,8000,869214
MINOR-D:SR2021,MINOR INSPECTION,16140,8000,170962
MINOR-D:SR2210,MINOR INSPECTION,18127,8000,472885
MINOR-D:LB31,MINOR INSPECTION,18364,8000,309042
MINOR-D:SR2604,MINOR INSPECTION,21005,8000,131986
MINOR-D:LB31,MINOR INSPECTION,18391,8000,273192
MINOR-D:SR2210,MINOR INSPECTION,18153,8000,476134
MINOR-D:SR2210,MINOR INSPECTION,18181,8000,492171
MINOR-D:SR2210,MINOR INSPECTION,18117,8000,516500
MINOR-D:SR2255,MINOR INSPECTION,18014,8000,351699
MINOR-D:SR2210,MINOR INSPECTION,18191,8000,474994
MINOR-D:SR2255,MINOR INSPECTION,18015,8000,379435
MINOR-D:SR2255,MINOR INSPECTION,18044,8000,452539
MINOR-D:J520,MINOR INSPECTION,19421,8000,547363
MINOR-D:SR2255,MINOR INSPECTION,18010,8000,350997
MINOR-D:LB31,MINOR INSPECTION,18321,8000,307036
MINOR-D:SR2210,MINOR INSPECTION,18116,8000,428547
MINOR-D:SR2210,MINOR INSPECTION,18185,8000,480190
MINOR-D:SR2210,MINOR INSPECTION,18194,8000,450080
MINOR-D:SR2604,MINOR INSPECTION,21017,8000,105891
MINOR-D:SR2210,MINOR INSPECTION,18121,8000,495375
MINOR-D:LB31,MINOR INSPECTION,18341,8000,270653
MINOR-D:SR2210,MINOR INSPECTION,18114,8000,485048
MINOR-D:SR2255,MINOR INSPECTION,18034,8000,339514
MINOR-D:SR2210,MINOR INSPECTION,18161,8000,512734
MINOR-D:SR2210,MINOR INSPECTION,18107,8000,494490
MINOR-D:LB31,MINOR INSPECTION,18370,8000,271044
MINOR-D:LB31,MINOR INSPECTION,18350,8000,292001
MINOR-D:SR2210,MINOR INSPECTION,18170,8000,493847
MINOR-D:LB31,MINOR INSPECTION,18351,8000,291960
MINOR-D:LB31,MINOR INSPECTION,18337,8000,261505
MINOR-D:SR2210,MINOR INSPECTION,18187,8000,409208
MINOR-D:LB32,MINOR INSPECTION,18458,8000,490422
MINOR-D:SR2255,MINOR INSPECTION,18060,8000,338409
MINOR-D:SR2255,MINOR INSPECTION,18019,8000,343456
MINOR-D:SR2210,MINOR INSPECTION,18188,8000,467502
MINOR-D:SR2255,MINOR INSPECTION,18023,8000,267447
MINOR-D:SR2604,MINOR INSPECTION,21015,8000,99219
MINOR-D:J520,MINOR INSPECTION,19406,8000,565729
MINOR-D:SR2255,MINOR INSPECTION,18012,8000,392178
MINOR-D:SR2743,MINOR INSPECTION,22005,8000,8001
MINOR-D:SR2210,MINOR INSPECTION,18119,8000,468416
MINOR-D:LB31,MINOR INSPECTION,18397,8000,297026
MINOR-D:SR2210,MINOR INSPECTION,18141,8000,478096
MINOR-D:SR2210,MINOR INSPECTION,18118,8000,445078
MINOR-D:SR2743,MINOR INSPECTION,22002,8000,30792
MINOR-D:SR2255,MINOR INSPECTION,18022,8000,379951
MINOR-D:SR2210,MINOR INSPECTION,18189,8000,463813
MINOR-D:SR2210,MINOR INSPECTION,18129,8000,498508
MINOR-D:SR2255,MINOR INSPECTION,18041,8000,382354
MINOR-D:SR2210,MINOR INSPECTION,18148,8000,484042
MINOR-D:SR1178,MINOR INSPECTION,8102,8000,992201
MINOR-D:LB31,MINOR INSPECTION,18312,8000,292996
MINOR-D:SR2255,MINOR INSPECTION,18007,8000,375431
MINOR-D:LF60,MINOR INSPECTION,24128,8000,8000
MINOR-D:LF60,MINOR INSPECTION,24102,8000,8000
MINOR-D:LE14,MINOR INSPECTION,23202,8000,8000
MINOR-D:LE14,MINOR INSPECTION,23214,8000,8000
MINOR-D:SR2795,MINOR INSPECTION,24016,8000,8000
MINOR-D:LF60,MINOR INSPECTION,24111,8000,8000
MINOR-D:LE14,MINOR INSPECTION,23213,8000,8000
MINOR-D:LF60,MINOR INSPECTION,24119,8000,8000
MINOR-D:LF60,MINOR INSPECTION,24132,8000,8000
MINOR-D:LF60,MINOR INSPECTION,24146,8000,8000
MINOR-D:LF60,MINOR INSPECTION,24149,8000,8000
MINOR-D:LF60,MINOR INSPECTION,24112,8000,8000
MINOR-D:LF60,MINOR INSPECTION,24124,8000,8000
MINOR-D:LF60,MINOR INSPECTION,24105,8000,8000
MINOR-D:LE14,MINOR INSPECTION,23206,8000,8000
MINOR-D:LF60,MINOR INSPECTION,24104,8000,8000
MINOR-D:LF60,MINOR INSPECTION,24116,8000,8000
MINOR-D:LF60,MINOR INSPECTION,24135,8000,8000
MINOR-D:L381,MINOR INSPECTION,9756,8000,1007914
MINOR-D:SR1123,MINOR INSPECTION,7494,8000,1330679
MINOR-D:L381,MINOR INSPECTION,9760,8000,943614
MINOR-D:L532,MINOR INSPECTION,9544,8000,884102
MINOR-D:L533B,MINOR INSPECTION,9572,8000,865624
MINOR-D:J520,MINOR INSPECTION,19413,8000,572185
MINOR-D:L455,MINOR INSPECTION,9476,8000,822559
MINOR-D:SR1659,MINOR INSPECTION,12018,8000,686768
MINOR-D:SR1123,MINOR INSPECTION,7487,8000,1357138
MINOR-D:L301,MINOR INSPECTION,9622,8000,985406
MINOR-D:SR1095,MINOR INSPECTION,3316,8000,1197698
MINOR-T:SR1027,MINOR INSPECTION,2175,8000,799865
MINOR-D:L532,MINOR INSPECTION,9551,8000,869869
MINOR-D:SR1659,MINOR INSPECTION,12012,8000,641934
MINOR-D:L455,MINOR INSPECTION,9484,8000,842731
MINOR-D:L302,MINOR INSPECTION,9663,8000,971045
MINOR-D:L455,MINOR INSPECTION,9488,8000,801652
MINOR-D:L482,MINOR INSPECTION,9512,8000,849619
MINOR-D:SR1659,MINOR INSPECTION,12008,8000,638505
MINOR-D:SR2021,MINOR INSPECTION,16133,8000,204944
MINOR-D:SR1280,MINOR INSPECTION,8142,8000,832581
MINOR-T:SR1027,MINOR INSPECTION,2116,8000,813292
MINOR-D:SR1095A,MINOR INSPECTION,3312,8000,1112676
MINOR-T:SR1027,MINOR INSPECTION,2138,8000,804807
MINOR-D:L301,MINOR INSPECTION,9619,8000,954100
MINOR-D:SR1659,MINOR INSPECTION,12004,8000,669144
MINOR-D:SR1123,MINOR INSPECTION,7475,8000,1386270
MINOR-T:SR1027,MINOR INSPECTION,2103,8000,653052
MINOR-D:SR1095,MINOR INSPECTION,3342,8000,1274116
MINOR-D:SR1123,MINOR INSPECTION,7451,8000,1427811
MINOR-D:L302,MINOR INSPECTION,9665,8000,947914
MINOR-D:SR1659,MINOR INSPECTION,12021,8000,689032
MINOR-D:SR2255,MINOR INSPECTION,18037,8000,291592
MINOR-D:SR2255,MINOR INSPECTION,18054,8000,414682
MINOR-D:SR2210,MINOR INSPECTION,18135,8000,467543
MINOR-D:SR2210,MINOR INSPECTION,18177,8000,472928
MINOR-D:SR2210,MINOR INSPECTION,18130,8000,492489
MINOR-D:LB31,MINOR INSPECTION,18324,8000,324351
MINOR-D:SR2255,MINOR INSPECTION,18051,8000,319895
MINOR-D:SR2210,MINOR INSPECTION,18152,8000,459571
MINOR-D:LB32,MINOR INSPECTION,18460,8000,504144
MINOR-D:SR2255,MINOR INSPECTION,18056,8000,328090
MINOR-D:SR2255,MINOR INSPECTION,18028,8000,289710
MINOR-D:LB31,MINOR INSPECTION,18384,8000,262385
MINOR-D:SR2210,MINOR INSPECTION,18186,8000,411595
MINOR-D:SR2604,MINOR INSPECTION,21010,8000,115068
MINOR-D:LB31,MINOR INSPECTION,18363,8000,317754
MINOR-D:LB31,MINOR INSPECTION,18360,8000,304062
MINOR-D:SR2255,MINOR INSPECTION,18040,8000,431572
MINOR-D:SR2255,MINOR INSPECTION,18011,8000,330037
MINOR-D:SR2210,MINOR INSPECTION,18206,8000,450521
MINOR-D:SR2255,MINOR INSPECTION,18002,8000,325360
MINOR-D:SR2210,MINOR INSPECTION,18138,8000,485851
MINOR-D:LB32,MINOR INSPECTION,18454,8000,478203
MINOR-D:LB32,MINOR INSPECTION,18455,8000,493872
MINOR-D:SR2255,MINOR INSPECTION,18029,8000,293258
MINOR-D:SR2210,MINOR INSPECTION,18133,8000,492758
MINOR-D:SR2210,MINOR INSPECTION,18200,8000,443644
MINOR-D:SR2604,MINOR INSPECTION,21024,8000,133767
MINOR-D:SR2210,MINOR INSPECTION,18178,8000,495792
MINOR-D:LB31,MINOR INSPECTION,18367,8000,294359
MINOR-D:LB31,MINOR INSPECTION,18342,8000,308692
MINOR-D:SR2210,MINOR INSPECTION,18193,8000,481785
MINOR-D:SR2210,MINOR INSPECTION,18190,8000,458463
MINOR-D:SR2210,MINOR INSPECTION,18196,8000,427746
MINOR-D:LB32,MINOR INSPECTION,18456,8000,485265
MINOR-D:SR1178,MINOR INSPECTION,8103,8000,945003
MINOR-D:SR2795,MINOR INSPECTION,24013,8000,8000
MINOR-D:LF60,MINOR INSPECTION,24115,8000,8000
MINOR-D:LF60,MINOR INSPECTION,24138,8000,8000
MINOR-D:LF60,MINOR INSPECTION,24130,8000,8000
MINOR-D:LF60,MINOR INSPECTION,24150,8000,8000
MINOR-D:LF60,MINOR INSPECTION,24143,8000,8000
MINOR-D:LF60,MINOR INSPECTION,24133,8000,8000
MINOR-D:LE14,MINOR INSPECTION,23203,8000,8000
MINOR-D:SR2182,MINOR INSPECTION,19304,8000,138213
MINOR-D:L302,MINOR INSPECTION,9664,8000,959043
MINOR-T:SR1027,MINOR INSPECTION,2271,8000,744680
MINOR-T:SR1027,MINOR INSPECTION,2230,8000,784298
MINOR-D:L454,MINOR INSPECTION,9465,8000,860116
MINOR-D:L380,MINOR INSPECTION,9744,8000,1021423
MINOR-T:SR1293,MINOR INSPECTION,2573,8000,690081
MINOR-T:SR1027,MINOR INSPECTION,2284,8000,768720
MINOR-D:L301,MINOR INSPECTION,9645,8000,948966
