Document,Description,Type,Organization,Class,Revision Number,Revision Date,File Path,File Type,Out of Service,Original Filename,Uploaded
10073,"SCREW, MACHINE SCREW, , , , , , 4/36"" X 1&3/8"", , , , , ,",Uploaded document,BCRTC,PP,,,9135_202210181853.JPG,,NO,9135_202210181853.JPG,10/18/2022 18:53
10074,"SCREW, MACHINE SCREW, , , , , , , , , , , ,",Uploaded document,BCRTC,PP,,,9136_202210181853.JPG,,NO,9136_202210181853.JPG,10/18/2022 18:53
10075,"SWITCH, PB 1PDT ON MOM   ON",Uploaded document,BCRTC,PP,,,9137_202210181853.JPG,,NO,9137_202210181853.JPG,10/18/2022 18:53
10076,"I/C, LINEAR",Uploaded document,BCRTC,PP,,,9138_202210181853.JPG,,NO,9138_202210181853.JPG,10/18/2022 18:53
10077,"DISKETTE, 3.5"" HI-DENS",Uploaded document,BCRTC,PP,,,9145_202210181853.JPG,,NO,9145_202210181853.JPG,10/18/2022 18:53
10078,"ABRASIVE, STICKETTE 6""RD",Uploaded document,BCRTC,PP,,,9146_202210181853.JPG,,NO,9146_202210181853.JPG,10/18/2022 18:53
10079,"POT, 250K 0.25W",Uploaded document,BCRTC,PP,,,9147_202210181853.JPG,,NO,9147_202210181853.JPG,10/18/2022 18:53
1008,req 10363 __ 587-20220510-Harding-Quote-227719_202205181726.pdf,Uploaded document,BCRTC,,,,req 10363 __ 587-20220510-Harding-Quote-227719_202205181726.pdf,,NO,req 10363 __ 587-20220510-Harding-Quote-227719_202205181726.pdf,5/18/2022 17:26
10080,"I/C, DIGITAL ISO OPTO",Uploaded document,BCRTC,PP,,,9151_202210181853.JPG,,NO,9151_202210181853.JPG,10/18/2022 18:53
10081,"HOLDER, FUSE DC/DC CONV",Uploaded document,BCRTC,PP,,,9152_202210181853.JPG,,NO,9152_202210181853.JPG,10/18/2022 18:53
10082,"TRANSISTOR, 50V 500MA    620MW",Uploaded document,BCRTC,PP,,,9154_202210181853.JPG,,NO,9154_202210181853.JPG,10/18/2022 18:53
10083,"TRANSISTOR, MOS N-CHAN   60V .8A",Uploaded document,BCRTC,PP,,,9155_202210181853.JPG,,NO,9155_202210181853.JPG,10/18/2022 18:53
10084,"TRANSISTOR, DARLINGTON PNP 60V .5A",Uploaded document,BCRTC,PP,,,9156_202210181853.JPG,,NO,9156_202210181853.JPG,10/18/2022 18:53
10085,"&BOARD, SGLE BRAKE COL",Uploaded document,BCRTC,PP,,,9158_202210181853.JPG,,NO,9158_202210181853.JPG,10/18/2022 18:53
10086,"PLATE, STEP R.H. PH2",Uploaded document,BCRTC,PP,,,9159_202210181853.JPG,,NO,9159_202210181853.JPG,10/18/2022 18:53
10087,"PLATE, STEP L.H. PH2",Uploaded document,BCRTC,PP,,,9160_202210181853.JPG,,NO,9160_202210181853.JPG,10/18/2022 18:54
10088,"PLATE, STEP CTRE PH2",Uploaded document,BCRTC,PP,,,9161_202210181853.JPG,,NO,9161_202210181853.JPG,10/18/2022 18:54
10089,"STUD, HEX",Uploaded document,BCRTC,PP,,,9166_202210181853.JPG,,NO,9166_202210181853.JPG,10/18/2022 18:54
1009,593PO-20220317-Commercial Truck-Invoice-SU-W3038701-UM_202205111628_202205181728,Uploaded document,BCRTC,,,,593PO-20220317-Commercial Truck-Invoice-SU-W3038701-UM_202205111628_202205181728.pdf,,NO,593PO-20220317-Commercial Truck-Invoice-SU-W3038701-UM_202205111628_202205181728.pdf,5/18/2022 17:28
10090,"CABLE, DTM51 TO DT90",Uploaded document,BCRTC,PP,,,9167_202210181853.JPG,,NO,9167_202210181853.JPG,10/18/2022 18:54
10091,"BUSHING, INTERYOKE FLANGE",Uploaded document,BCRTC,PP,,,9168_202210181853.JPG,,NO,9168_202210181853.JPG,10/18/2022 18:54
10092,"SHIM, INTERYOKE 2MM",Uploaded document,BCRTC,PP,,,9169_202210181853.JPG,,NO,9169_202210181853.JPG,10/18/2022 18:54
10093,"BUSHING, INTERYOKE PLAIN",Uploaded document,BCRTC,PP,,,9170_202210181853.JPG,,NO,9170_202210181853.JPG,10/18/2022 18:54
10094,09-05C POWER FIN INTERMEDIATE HEATSINK- 1,Uploaded document,BCRTC,,000,10/18/2022,09-05C POWER FIN INTERMEDIATE HEATSINK- 1_20221118213319.pdf,,NO,09-05C POWER FIN INTERMEDIATE HEATSINK- 1_20221118213319.pdf,11/18/2022 0:00
10095,"WASHER, SPECIAL BELLEVILLE WASHER, , , ZINC PLATED TYPE II, , , , , 26-26.5MM I.",Uploaded document,BCRTC,PP,,,9171_202210181853.JPG,,NO,9171_202210181853.JPG,10/18/2022 18:54
10096,"SHIM, INTERYOKE 1MM",Uploaded document,BCRTC,PP,,,9172_202210181853.JPG,,NO,9172_202210181853.JPG,10/18/2022 18:54
10097,"#BOARD, PROCESSOR MICRO 8032",Uploaded document,BCRTC,PP,,,9173_202210181853.JPG,,NO,9173_202210181853.JPG,10/18/2022 18:54
10098,"#REPROCESSOR, COMM",Uploaded document,BCRTC,PP,,,9182_202210181853.JPG,,NO,9182_202210181853.JPG,10/18/2022 18:54
10099,11-1-17 Ceiling Assemblies and Installation 1100-1200- 1,Uploaded document,BCRTC,,000,10/18/2022,11-1-17 Ceiling Assemblies and Installation 1100-1200- 1_20221221113721.pdf,,NO,11-1-17 Ceiling Assemblies and Installation 1100-1200- 1_20221221113721.pdf,12/21/2022 0:00
101,Toyota Forklift 393 (Operator's Manual),File system document,BCRTC,,,,https://scbcta.sharepoint.com/sites/Team-BCRTC_NRV/NRV Documents/Toyota FB35-40 Forklift Operator's Manual.pdf,,NO,https://scbcta.sharepoint.com/sites/Team-BCRTC_NRV/NRV Documents/Toyota FB35-40 Forklift Operator's Manual.pdf,2/22/2022 20:30
1010,MOODY STATION - DEMARCATION LIGHT Escalator 1_202205111819_202205181805.pdf,Uploaded document,BCRTC,,,,MOODY STATION - DEMARCATION LIGHT Escalator 1_202205111819_202205181805.pdf,,NO,MOODY STATION - DEMARCATION LIGHT Escalator 1_202205111819_202205181805.pdf,5/18/2022 18:05
10100,"#BOARD, PROCESSOR B MICRO 8751",Uploaded document,BCRTC,PP,,,9183_202210181853.JPG,,NO,9183_202210181853.JPG,10/18/2022 18:54
10101,"FUSE, .5AMP",Uploaded document,BCRTC,PP,,,9187_202210181853.JPG,,NO,9187_202210181853.JPG,10/18/2022 18:54
10102,"I/C, LINEAR PO PWR DUAL",Uploaded document,BCRTC,PP,,,9191_202210181853.JPG,,NO,9191_202210181853.JPG,10/18/2022 18:54
10103,"I/C, LINEAR REG PUL MOD",Uploaded document,BCRTC,PP,,,9194_202210181853.JPG,,NO,9194_202210181853.JPG,10/18/2022 18:54
10104,"I/C, LINEAR PLL HOR PROC",Uploaded document,BCRTC,PP,,,9196_202210181853.JPG,,NO,9196_202210181853.JPG,10/18/2022 18:54
10105,"I/C, DIGITAL +5V DUAL",Uploaded document,BCRTC,PP,,,9198_202210181853.JPG,,NO,9198_202210181853.JPG,10/18/2022 18:54
10106,"THYRISTOR, SWITCH UNILAT",Uploaded document,BCRTC,PP,,,9199_202210181853.JPG,,NO,9199_202210181853.JPG,10/18/2022 18:54
10107,"FUSE, 2AMP",Uploaded document,BCRTC,PP,,,9200_202210181853.JPG,,NO,9200_202210181853.JPG,10/18/2022 18:54
10108,DIODE,Uploaded document,BCRTC,PP,,,9201_202210181853.JPG,,NO,9201_202210181853.JPG,10/18/2022 18:54
10109,"HUB, ROLLER GRILL",Uploaded document,BCRTC,PP,,,9210_202210181853.JPG,,NO,9210_202210181853.JPG,10/18/2022 18:54
1011,DisplayPDF_202205181805.pdf,Uploaded document,BCRTC,,,,DisplayPDF_202205181805.pdf,,NO,DisplayPDF_202205181805.pdf,5/18/2022 18:05
10110,"KEY, SWITCH",Uploaded document,BCRTC,PP,,,9234_202210181853.JPG,,NO,9234_202210181853.JPG,10/18/2022 18:54
10111,BUSHING,Uploaded document,BCRTC,PP,,,9235_202210181853.JPG,,NO,9235_202210181853.JPG,10/18/2022 18:54
10112,"HOLDER, FUSE",Uploaded document,BCRTC,PP,,,9236_202210181853.JPG,,NO,9236_202210181853.JPG,10/18/2022 18:54
10113,BEARING,Uploaded document,BCRTC,PP,,,9237_202210181853.JPG,,NO,9237_202210181853.JPG,10/18/2022 18:54
10114,"LUBRICANT, PETROL JELLY",Uploaded document,BCRTC,PP,,,9239_202210181853.JPG,,NO,9239_202210181853.JPG,10/18/2022 18:54
10115,"SCREW, SET SCREW, , , , HEX SOCKET, , , , , , , ,",Uploaded document,BCRTC,PP,,,9240_202210181853.JPG,,NO,9240_202210181853.JPG,10/18/2022 18:54
10116,"WASHER, STANDARD WASHER, , , , , , 1-1/8"", , , , , ,",Uploaded document,BCRTC,PP,,,9241_202210181853.JPG,,NO,9241_202210181853.JPG,10/18/2022 18:54
10117,"WASHER, , CHAMPHERED, , , , , , , , , , ,",Uploaded document,BCRTC,PP,,,9242_202210181853.JPG,,NO,9242_202210181853.JPG,10/18/2022 18:54
10118,"PIN, SPRING",Uploaded document,BCRTC,PP,,,9243_202210181853.JPG,,NO,9243_202210181853.JPG,10/18/2022 18:54
10119,"NUT, STOVER NUT, , , , , , 1/2"", UNF, , , , ,",Uploaded document,BCRTC,PP,,,9244_202210181853.JPG,,NO,9244_202210181853.JPG,10/18/2022 18:54
1012,Moody Station Demarc lights Escalator # 1_202205181822.pdf,Uploaded document,BCRTC,,,,Moody Station Demarc lights Escalator # 1_202205181822.pdf,,NO,Moody Station Demarc lights Escalator # 1_202205181822.pdf,5/18/2022 18:22
10120,09-05D POWER FIN BUSBAR LOCATION AND ASSEMBLY- 1,Uploaded document,BCRTC,,000,10/18/2022,09-05D POWER FIN BUSBAR LOCATION AND ASSEMBLY- 1_20221118213358.pdf,,NO,09-05D POWER FIN BUSBAR LOCATION AND ASSEMBLY- 1_20221118213358.pdf,11/18/2022 0:00
10121,"BOLT, , , , , , HEX HEAD, 1/2"" X 1&1/2"", UNF, , , , ,",Uploaded document,BCRTC,PP,,,9245_202210181855.JPG,,NO,9245_202210181855.JPG,10/18/2022 18:55
10122,"CONTACTOR, BELT 1 START",Uploaded document,BCRTC,PP,,,9247_202210181855.JPG,,NO,9247_202210181855.JPG,10/18/2022 18:55
10123,"TRANSISTOR, NPN SI 300V  15A",Uploaded document,BCRTC,PP,,,9248_202210181855.JPG,,NO,9248_202210181855.JPG,10/18/2022 18:55
10124,"LAMP, FLUORESCENT 4FT",Uploaded document,BCRTC,PP,,,9249_202210181855.JPG,,NO,9249_202210181855.JPG,10/18/2022 18:55
10125,"FUSE, 125AMP 250V S/B",Uploaded document,BCRTC,PP,,,9251_202210181855.JPG,,NO,9251_202210181855.JPG,10/18/2022 18:55
10126,"PIN, SPRING",Uploaded document,BCRTC,PP,,,9253_202210181855.JPG,,NO,9253_202210181855.JPG,10/18/2022 18:55
10127,"NUT, DRILLED JAM NUT, NAS509, , , , , 1"" - 12 X 1/2"", UNF, , , , ,",Uploaded document,BCRTC,PP,,,9254_202210181855.JPG,,NO,9254_202210181855.JPG,10/18/2022 18:55
10128,"SCREW, HOLOKROME, , CLASS 9, , , HEX HEAD, 3/8"" X 2"", UNRF, , , , ,",Uploaded document,BCRTC,PP,,,9255_202210181855.JPG,,NO,9255_202210181855.JPG,10/18/2022 18:56
10129,"SCREW, SHOULDER SCREW, , , , , , , , , , , ,",Uploaded document,BCRTC,PP,,,9256_202210181855.JPG,,NO,9256_202210181855.JPG,10/18/2022 18:56
1013,MOODY STATION - DEMARCATION LIGHT Escalator 2_202205181822.pdf,Uploaded document,BCRTC,,,,MOODY STATION - DEMARCATION LIGHT Escalator 2_202205181822.pdf,,NO,MOODY STATION - DEMARCATION LIGHT Escalator 2_202205181822.pdf,5/18/2022 18:22
10130,"CHANNEL, NEOPRENE",Uploaded document,BCRTC,PP,,,9257_202210181855.JPG,,NO,9257_202210181855.JPG,10/18/2022 18:56
10131,"TRANSISTOR, PNP SI DARLINGTON",Uploaded document,BCRTC,PP,,,9258_202210181855.JPG,,NO,9258_202210181855.JPG,10/18/2022 18:56
10132,"TRANSISTOR, NPN SI 60V 4A75W",Uploaded document,BCRTC,PP,,,9259_202210181855.JPG,,NO,9259_202210181855.JPG,10/18/2022 18:56
10133,"APPLICATOR, LUB STICK RH",Uploaded document,BCRTC,PP,,,9260_202210181855.JPG,,NO,9260_202210181855.JPG,10/18/2022 18:56
10134,"&RELAY, 380V 50HZ",Uploaded document,BCRTC,PP,,,9261_202210181855.JPG,,NO,9261_202210181855.JPG,10/18/2022 18:56
10135,"&RELAY, 220/380V",Uploaded document,BCRTC,PP,,,9262_202210181855.JPG,,NO,9262_202210181855.JPG,10/18/2022 18:56
10136,"RELAY, 5-10 SEC",Uploaded document,BCRTC,PP,,,9263_202210181855.JPG,,NO,9263_202210181855.JPG,10/18/2022 18:56
10137,"&RELAY, 380V 50/60HZ",Uploaded document,BCRTC,PP,,,9264_202210181855.JPG,,NO,9264_202210181855.JPG,10/18/2022 18:56
