Document,Description,Type,Organization,Class,Revision_Number,Revision_Date,File_Path,File_Type,Out_of_Service,Original_Filename,Uploaded,RN
33959,msds0199B_202305031610.pdf,Uploaded document,BCRTC,NULL,NULL,NULL,msds0199B_202305031610.pdf,NULL,NO,msds0199B_202305031610.pdf,2023-05-03 16:11:00.0000000,3
33960,msds0224B_202305031610.pdf,Uploaded document,BCRTC,NULL,NULL,NULL,msds0224B_202305031610.pdf,NULL,NO,msds0224B_202305031610.pdf,2023-05-03 16:11:00.0000000,2
33995,msds0274B_202305031614.pdf,Uploaded document,BCRTC,NULL,NULL,NULL,msds0274B_202305031614.pdf,NULL,NO,msds0274B_202305031614.pdf,2023-05-03 16:15:00.0000000,2
33967,msds0308B_202305031614.pdf,Uploaded document,BCRTC,NULL,NULL,NULL,msds0308B_202305031614.pdf,NULL,NO,msds0308B_202305031614.pdf,2023-05-03 16:14:00.0000000,2
33956,msds0332B_202305031610.pdf,Uploaded document,BCRTC,NULL,NULL,NULL,msds0332B_202305031610.pdf,NULL,NO,msds0332B_202305031610.pdf,2023-05-03 16:11:00.0000000,2
34010,msds0438B_202305031614.pdf,Uploaded document,BCRTC,NULL,NULL,NULL,msds0438B_202305031614.pdf,NULL,NO,msds0438B_202305031614.pdf,2023-05-03 16:15:00.0000000,2
33955,msds0557_202305031610.pdf,Uploaded document,BCRTC,NULL,NULL,NULL,msds0557_202305031610.pdf,NULL,NO,msds0557_202305031610.pdf,2023-05-03 16:11:00.0000000,2
33964,msds0557_202305031614.pdf,Uploaded document,BCRTC,NULL,NULL,NULL,msds0557_202305031614.pdf,NULL,NO,msds0557_202305031614.pdf,2023-05-03 16:14:00.0000000,3
33785,msds0617_202305022233.pdf,Uploaded document,BCRTC,NULL,NULL,NULL,msds0617_202305022233.pdf,NULL,NO,msds0617_202305022233.pdf,2023-05-02 22:33:00.0000000,2
33804,msds0643_202305022237.pdf,Uploaded document,BCRTC,NULL,NULL,NULL,msds0643_202305022237.pdf,NULL,NO,msds0643_202305022237.pdf,2023-05-02 22:37:00.0000000,2
33791,msds0649_202305022237.pdf,Uploaded document,BCRTC,NULL,NULL,NULL,msds0649_202305022237.pdf,NULL,NO,msds0649_202305022237.pdf,2023-05-02 22:37:00.0000000,2
33796,msds0655_202305022237.pdf,Uploaded document,BCRTC,NULL,NULL,NULL,msds0655_202305022237.pdf,NULL,NO,msds0655_202305022237.pdf,2023-05-02 22:37:00.0000000,2
33793,msds0672_202305022237.pdf,Uploaded document,BCRTC,NULL,NULL,NULL,msds0672_202305022237.pdf,NULL,NO,msds0672_202305022237.pdf,2023-05-02 22:37:00.0000000,2
33802,msds0687_202305022237.pdf,Uploaded document,BCRTC,NULL,NULL,NULL,msds0687_202305022237.pdf,NULL,NO,msds0687_202305022237.pdf,2023-05-02 22:37:00.0000000,2
33786,msds0696_202305022233.pdf,Uploaded document,BCRTC,NULL,NULL,NULL,msds0696_202305022233.pdf,NULL,NO,msds0696_202305022233.pdf,2023-05-02 22:33:00.0000000,2
33799,msds0706_202305022237.pdf,Uploaded document,BCRTC,NULL,NULL,NULL,msds0706_202305022237.pdf,NULL,NO,msds0706_202305022237.pdf,2023-05-02 22:37:00.0000000,2
33797,msds0738_202305022237.PDF,Uploaded document,BCRTC,NULL,NULL,NULL,msds0738_202305022237.PDF,NULL,NO,msds0738_202305022237.PDF,2023-05-02 22:37:00.0000000,2
33927,msds0738_202305031559.PDF,Uploaded document,BCRTC,NULL,NULL,NULL,msds0738_202305031559.PDF,NULL,NO,msds0738_202305031559.PDF,2023-05-03 16:00:00.0000000,3
33806,msds0740_202305022237.pdf,Uploaded document,BCRTC,NULL,NULL,NULL,msds0740_202305022237.pdf,NULL,NO,msds0740_202305022237.pdf,2023-05-02 22:37:00.0000000,2
34007,MSDS0797_202305031614.pdf,Uploaded document,BCRTC,NULL,NULL,NULL,MSDS0797_202305031614.pdf,NULL,NO,MSDS0797_202305031614.pdf,2023-05-03 16:15:00.0000000,2
33784,msds0850_202305022233.PDF,Uploaded document,BCRTC,NULL,NULL,NULL,msds0850_202305022233.PDF,NULL,NO,msds0850_202305022233.PDF,2023-05-02 22:33:00.0000000,2
